Nr;Driver in;Day time in;Time in;Driver out;Day time out;Time out;Nett Time;Reason;Lap In
992;Ashley Sutton;22:07:22.816;4:08:04.401;Robert De Haan;22:08:50.711;4:09:32.296;1:27.895;;122
48;Luca Stolz;22:07:49.855;4:08:31.440;Lucas Auer;22:09:16.673;4:09:58.258;1:26.818;;124
64;Thomas Drouet;22:08:04.715;4:08:46.300;Fabio Scherer;22:09:33.571;4:10:15.156;1:28.856;;123
74;Lorenzo Patrese;22:08:30.340;4:09:11.925;Dennis Marschall;22:10:31.309;4:11:12.894;2:00.969;;122
17;Maximilian Götz;22:08:40.421;4:09:22.006;Fabian Schiller;22:10:11.352;4:10:52.937;1:30.931;;124
9;Max Hofer;22:08:44.068;4:09:25.653;Max Hofer;22:10:10.567;4:10:52.152;1:26.499;;123
111;James Kell;22:09:01.466;4:09:43.051;Simon Gachet;22:10:27.826;4:11:09.411;1:26.360;;124
998;Ugo De Wilde;22:09:16.517;4:09:58.102;Jens Klingmann;22:10:43.694;4:11:25.279;1:27.177;;124
54;Angus Whiteside;22:09:21.059;4:10:02.644;Angus Whiteside;22:11:09.644;4:11:51.229;1:48.585;;122
51;Tommaso Mosca;22:09:34.058;4:10:15.643;Alessio Rovera;22:11:00.551;4:11:42.136;1:26.493;;124
222;Reece Barr;22:09:51.018;4:10:32.603;Kiern Jewiss;22:11:18.307;4:11:59.892;1:27.289;;123
52;Jeff Machiels;22:09:56.203;4:10:37.788;Jeff Machiels;22:11:23.718;4:12:05.303;1:27.515;;123
58;Louis Prette;22:10:16.893;4:10:58.478;Thomas Fleming;22:11:44.140;4:12:25.725;1:27.247;;125
3;Chris Lulham;22:10:37.121;4:11:18.706;Chris Lulham;22:12:03.119;4:12:44.704;1:25.998;;125
23;Ben Dörr;22:10:42.570;4:11:24.155;Ben Dörr;22:12:41.154;4:13:22.739;1:58.584;;123
12;Tom Kalender;22:11:49.250;4:12:30.835;Mikael Grenier;22:13:50.435;4:14:32.020;2:01.185;;123
35;Gaspard Simon;22:11:50.571;4:12:32.156;Gaspard Simon;22:13:19.669;4:14:01.254;1:29.098;;124
71;Simon Birch;22:12:15.980;4:12:57.565;Simon Birch;22:13:42.831;4:14:24.416;1:26.851;;125
91;Robert Renauer;22:12:27.062;4:13:08.647;Huub van Eijndhoven;22:14:55.753;4:15:37.338;2:28.691;;124
